OTU,Mineral,Phylum,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,Species
OTU17,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 3
OTU19,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 5
OTU21,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 7
OTU91,Calcifying,Porifera,Calcarea,Calcaronea,Leucosolenida,,,,,,,,Leucosolenida sp. 9
OTU109,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,Coelosphaeridae,,Lissodendoryx,,Lissodendoryx sp. 2
OTU60,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,Mycalidae,,Mycale ,,Mycale sp. 10
OTU59,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,Mycalidae,,Mycale ,,Mycale sp. 9
OTU84,Non Calcifying,Porifera,Homoscleromorpha,,Homosclerophorida,,,,Oscarellidae,,Oscarella,,Oscarella sp. 3
OTU85,Non Calcifying,Porifera,Homoscleromorpha,,Homosclerophorida,,,,Oscarellidae,,Oscarella,,Oscarella sp. 4
OTU86,Non Calcifying,Porifera,Homoscleromorpha,,Homosclerophorida,,,,Oscarellidae,,Oscarella,,Oscarella sp. 5
OTU104,Non Calcifying,Porifera,Homoscleromorpha,,Homosclerophorida,,,,Oscarellidae,,Oscarella,,Oscarella sp. 6
OTU87,Non Calcifying,Porifera,Homoscleromorpha,,Homosclerophorida,,,,Plakinidae,,Plakina,,Plakina sp. 1
OTU88,Non Calcifying,Porifera,Homoscleromorpha,,Homosclerophorida,,,,Plakinidae,,Plakortis,,Plakortis sp. 1
OTU66,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,,,,,Poecilosclerida sp. 1
OTU67,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,,,,,Poecilosclerida sp. 2
OTU101,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,,,,,Poecilosclerida sp. 4
OTU62,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,,,,,Poecilosclerida sp. 7
OTU68,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Suberitidae,,Protosuberites,,Protosuberites sp. 1
OTU69,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Suberitidae,,Protosuberites,,Protosuberites sp. 2
OTU70,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Suberitidae,,Protosuberites,,Protosuberites sp. 3
OTU65,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,,,Tedanidae,,Tedania,,Tedania cf. klausi
OTU80,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,,,,Suberitidae,,Terpios,,Terpios sp. 1
OTU51,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,,,,Tethyidae,,Tethya,,Tethya sp. 2
OTU52,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,,,,Tethyidae,,Tethya,,Tethya sp. 3
OTU53,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,,,,Tethyidae,,Tethya,,Tethya sp. 4
OTU54,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,,,,Tethyidae,,Tethya,,Tethya sp. 5
OTU55,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,,,,Tethyidae,,Tethya,,Tethya sp. 6
OTU93,Non Calcifying,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,,,,Tethyidae,,,,Tethyidae sp. 1
OTU89,Non Calcifying,Porifera,Demospongiae,Verongimorpha,Chondrillida,,,,,,,,Verongimorpha sp. 1
